,index,Cube Name,Cubecon Type,cardID,addedTmsp,details_name,details_full_name,details_artist,details_rarity,details_color_identity,details_colors,details_set,details_released_at,details_cmc,details_parsed_cost,details_type,details_elo,details_popularity,details_cubeCount,details_loyalty,details_power,details_toughness
14,14,Regular Cube,Pre-Accepted,bf2a093a-25f0-4247-94dc-550865d86317,1572901810813,Ministrant of Obligation,Ministrant of Obligation [rna-16],Bastien L. Deharme,uncommon,['W'],['W'],rna,2019-01-25,3,"['w', '2']",Creature — Human Cleric,1270.7999999999436,3.0711308136095705,4413,,2,1
15,15,Regular Cube,Pre-Accepted,3eb01bba-798f-418c-8e45-387b96c9e732,1572901810814,Rout,Rout [c17-71],Igor Kieryluk,rare,['W'],['W'],c17,2017-08-25,5,"['w', 'w', '3']",Sorcery,1265.1000000000272,2.147634192340615,3086,,,
16,16,Regular Cube,Pre-Accepted,bef16a71-5ed2-4f30-a844-c02a0754f679,1572901810814,Austere Command,Austere Command [ima-10],Anna Steinbauer,rare,['W'],['W'],ima,2017-11-17,6,"['w', 'w', '4']",Sorcery,1193.1999999999607,4.427494728344457,6362,,,
17,17,Regular Cube,Pre-Accepted,5f34f930-a7c6-400d-b6e8-b9908e0f0404,1572901810814,Planar Outburst,Planar Outburst [bfz-42],Vincent Proce,rare,['W'],['W'],bfz,2015-10-02,5,"['w', 'w', '3']",Sorcery,1215.2999999999847,1.0598985336794415,1523,,,
18,18,Regular Cube,Pre-Accepted,d016f166-183e-4d9e-9292-9bfb1ca0d72b,1572901810814,Emerge Unscathed,Emerge Unscathed [ima-19],Steve Argyle,common,['W'],['W'],ima,2017-11-17,1,['w'],Instant,1182.300000000089,1.4141259490719797,2032,,,
19,19,Regular Cube,Pre-Accepted,f9f731df-eb40-44c8-a72d-f377c824584d,1572901810815,Gird for Battle,Gird for Battle [grn-12],Jakub Kasper,uncommon,['W'],['W'],grn,2018-10-05,1,['w'],Sorcery,1197.499999999988,1.398119602207484,2009,,,
20,20,Regular Cube,Pre-Accepted,a4624976-3773-4a1e-b725-5f6efce147a5,1572901810815,Selfless Spirit,Selfless Spirit [emn-40],Seb McKinnon,rare,['W'],['W'],emn,2016-07-22,2,"['w', '1']",Creature — Spirit Cleric,1305.1000000000763,12.491909835552184,17950,,2,1
21,21,Regular Cube,Pre-Accepted,d7501662-1216-4e08-bd2b-e0a459057942,1572901810816,Kor Skyfisher,Kor Skyfisher [mm3-11],Dan Scott,common,['W'],['W'],mm3,2017-03-17,2,"['w', '1']",Creature — Kor Soldier,1262.7999999999422,7.5654346419101834,10871,,2,3
22,22,Regular Cube,Pre-Accepted,21c950d7-b4f6-4902-8c9a-98f2933f9fa5,1572901810816,Adanto Vanguard,Adanto Vanguard [xln-1],Anna Steinbauer,uncommon,['W'],['W'],xln,2017-09-29,2,"['w', '1']",Creature — Vampire Soldier,1243.8000000001666,12.171782898262267,17490,,1,1
23,23,Regular Cube,Pre-Accepted,a431f183-17eb-4a6c-a137-d106bdc8c997,1572901810817,Sunhome Stalwart,Sunhome Stalwart [grn-26],Matt Stewart,uncommon,['W'],['W'],grn,2018-10-05,2,"['w', '1']",Creature — Human Soldier,1206.300000000002,2.49907789523498,3591,,2,2
24,24,Regular Cube,Pre-Accepted,1a50984b-5bf5-4432-a149-96492d1683de,1572901810817,Shelter,Shelter [mh1-28],Christopher Moeller,common,['W'],['W'],mh1,2019-06-14,2,"['w', '1']",Instant,1218.4000000001436,3.5095655320718477,5043,,,
25,25,Regular Cube,Pre-Accepted,73cbb58a-1b00-4883-9b45-da7ded7317e3,1572901810818,Divine Arrow,Divine Arrow [war-10],Kieran Yanner,common,['W'],['W'],war,2019-05-03,2,"['w', '1']",Instant,1196.6000000000124,1.222745714822573,1757,,,
26,26,Regular Cube,Pre-Accepted,d140c3b7-ca78-483d-baeb-307b624fea8b,1572901810818,Thraben Inspector,Thraben Inspector [soi-44],Matt Stewart,common,['W'],['W'],soi,2016-04-08,1,['w'],Creature — Human Soldier,1386.4000000019173,21.54175916711322,30954,,1,2
27,27,Regular Cube,Pre-Accepted,af5a237a-31e7-43ee-8d47-3eb12dd1a60c,1572901810819,Territorial Hammerskull,Territorial Hammerskull [xln-41],Lars Grant-West,common,['W'],['W'],xln,2017-09-29,3,"['w', '2']",Creature — Dinosaur,1174.800000000052,1.7544348019736522,2521,,2,3
28,28,Regular Cube,Pre-Accepted,789c5c2b-3e51-4f6c-ac76-d276facf716f,1572901810819,Faerie Vandal,Faerie Vandal [eld-45],Paul Scott Canavan,uncommon,['U'],['U'],eld,2019-10-04,2,"['u', '1']",Creature — Faerie Rogue,1343.7999999998349,4.967534952990055,7138,,1,2
29,29,Regular Cube,Pre-Accepted,c3669391-8f64-4904-b432-0f0582f30449,1572901810820,Opt,Opt [eld-59],Dan Scott,common,['U'],['U'],eld,2019-10-04,1,['u'],Instant,1357.699999999934,19.718427480809783,28334,,,
30,30,Regular Cube,Pre-Accepted,19316cbb-d1af-4ab7-b588-78637503e986,1572901810820,"Sai, Master Thopterist","Sai, Master Thopterist [m19-69]",Adam Paquette,rare,['U'],['U'],m19,2018-07-13,3,"['u', '2']",Legendary Creature — Human Artificer,1270.8000000000618,4.921603696770197,7072,,1,4
31,31,Regular Cube,Pre-Accepted,3d800fe1-4b53-4002-9a0a-1f0b2461b800,1572901810820,Etherium Sculptor,Etherium Sculptor [c18-90],Steven Belledin,common,['U'],['U'],c18,2018-08-09,2,"['u', '1']",Artifact Creature — Vedalken Artificer,1272.7999999999452,4.049605756717447,5819,,1,2
32,32,Regular Cube,Pre-Accepted,0db2339c-c792-42fd-805b-dc942e7fd91a,1572901810821,Whirler Rogue,Whirler Rogue [gnt-25],Winona Nelson,uncommon,['U'],['U'],gnt,2018-11-16,4,"['u', 'u', '2']",Creature — Human Rogue Artificer,1314.8000000000943,11.590682914268614,16655,,2,2
33,33,Regular Cube,Pre-Accepted,5fc6adff-dcb3-456d-a8c2-0e77b784ff89,1572901810823,Murmuring Mystic,Murmuring Mystic [grn-45],Mark Winters,uncommon,['U'],['U'],grn,2018-10-05,4,"['u', '3']",Creature — Human Wizard,1291.4999999997483,9.199473878337844,13219,,1,5
34,34,Regular Cube,Pre-Accepted,821f1c26-6253-4ecc-a243-a5662c637a4a,1572901810823,Brainstorm,Brainstorm [c18-82],Willian Murai,uncommon,['U'],['U'],c18,2018-08-09,1,['u'],Instant,1474.2000000010346,22.60583326953992,32483,,,
35,35,Regular Cube,Pre-Accepted,20296a5b-4e15-4f07-8bce-9a37abb35729,1572901810824,Serum Visions,Serum Visions [mm3-49],Izzy,uncommon,['U'],['U'],mm3,2017-03-17,1,['u'],Sorcery,1439.3000000000388,11.305352383205863,16245,,,
36,36,Regular Cube,Pre-Accepted,49bd28e3-1612-41b3-88a0-bb5c1ee60ace,1572901810824,Essence Scatter,Essence Scatter [m14-55],Jon Foster,common,['U'],['U'],m14,2013-07-19,2,"['u', '1']",Instant,1236.7999999997892,7.621108891873647,10951,,,
37,37,Regular Cube,Pre-Accepted,b8a6d5a5-ea8a-4d13-a8a6-11587f1bde44,1572901810825,Frantic Search,Frantic Search [uma-57],Mitchell Malloy,common,['U'],['U'],uma,2018-12-07,3,"['u', '2']",Instant,1421.8000000010038,13.576165853590641,19508,,,
38,38,Regular Cube,Pre-Accepted,16caa0b6-dba9-4f93-bf8d-3b339474cbf1,1572901810825,Curator of Mysteries,Curator of Mysteries [akh-49],Christine Choi,rare,['U'],['U'],akh,2017-04-28,4,"['u', 'u', '2']",Creature — Sphinx,1235.0999999999103,2.7510038763196536,3953,,4,4
39,39,Regular Cube,Pre-Accepted,52558748-6893-4c72-a9e2-e87d31796b59,1572901810826,"Fblthp, the Lost","Fblthp, the Lost [war-50]",Jesper Ejsing,rare,['U'],['U'],war,2019-05-03,2,"['u', '1']",Legendary Creature — Homunculus,1279.0999999999078,3.5958606195152165,5167,,1,1
40,40,Regular Cube,Pre-Accepted,c77d9454-a78c-4063-ad66-46b2f5a030aa,1572901810826,"Kasmina, Enigmatic Mentor","Kasmina, Enigmatic Mentor [war-56]",Magali Villeneuve,uncommon,['U'],['U'],war,2019-05-03,4,"['u', '3']",Legendary Planeswalker — Kasmina,1259.099999999966,3.8818870787025115,5578,5,,
41,41,Regular Cube,Pre-Accepted,15f01a3c-0a66-48da-a7d2-46260e3b721f,1572901810826,Watcher for Tomorrow,Watcher for Tomorrow [mh1-76],Tommy Arnold,uncommon,['U'],['U'],mh1,2019-06-14,2,"['u', '1']",Creature — Human Wizard,1294.3999999998755,6.142957555343684,8827,,2,1
42,42,Regular Cube,Pre-Accepted,077ffa65-542f-4b83-9fcb-d3384b74633c,1572901810826,Exclude,Exclude [mh1-48],Jehan Choo,uncommon,['U'],['U'],mh1,2019-06-14,3,"['u', '2']",Instant,1338.7999999998485,5.239642849686485,7529,,,
43,43,Regular Cube,Pre-Accepted,42230b38-c81a-4d76-ad17-1166f5f62312,1572901810827,Rain of Revelation,Rain of Revelation [mh1-65],Nils Hamm,common,['U'],['U'],mh1,2019-06-14,4,"['u', '3']",Instant,1258.399999999984,2.2979546672419673,3302,,,
44,44,Regular Cube,Pre-Accepted,d3c81fda-c23d-437c-85f0-62d7b492ea32,1572901810827,Dungeon Geists,Dungeon Geists [m20-57],Nils Hamm,rare,['U'],['U'],m20,2019-07-12,4,"['u', 'u', '2']",Creature — Spirit,1214.6999999999198,4.611915681348431,6627,,3,3
45,45,Regular Cube,Pre-Accepted,ce137910-0f0e-4f94-9b95-6e0eeeba164e,1572901810828,Essence Capture,Essence Capture [rna-37],Mathias Kollros,uncommon,['U'],['U'],rna,2019-01-25,2,"['u', 'u']",Instant,1210.9999999999818,2.3849456828098794,3427,,,
46,46,Regular Cube,Pre-Accepted,4cb4e315-1a77-479a-9f15-fb23575de805,1572901810828,Censor,Censor [akh-46],John Stanko,uncommon,['U'],['U'],akh,2017-04-28,2,"['u', '1']",Instant,1308.700000000141,6.299541383365926,9052,,,
47,47,Regular Cube,Pre-Accepted,f81739a5-35a7-4812-a7af-e1951bf5579c,1572901810828,Syncopate,Syncopate [dom-67],Tommy Arnold,common,['U'],['U'],dom,2018-04-27,1,"['u', 'x']",Instant,1225.6999999998425,4.784505856235168,6875,,,
48,48,Regular Cube,Pre-Accepted,48ef7938-7c68-4aeb-9403-4ab1af944a81,1572901810829,Aether Spellbomb,Aether Spellbomb [mma-196],Jim Nelson,common,['U'],[],mma,2013-06-07,1,['1'],Artifact,1315.6999999999907,3.8818870787025115,5578,,,
49,49,Regular Cube,Pre-Accepted,33b83158-78b4-425e-8379-be3ef038295c,1572901810829,Negate,Negate [m20-69],Magali Villeneuve,common,['U'],['U'],m20,2019-07-12,2,"['u', '1']",Instant,1317.2999999996578,14.833012046515837,21314,,,
50,50,Regular Cube,Pre-Accepted,d73ad49f-fe15-4fe5-9731-fd71d31c1e7f,1572901810829,Scatter to the Winds,Scatter to the Winds [bfz-85],Raymond Swanland,rare,['U'],['U'],bfz,2015-10-02,3,"['u', 'u', '1']",Instant,1248.0999999999938,0.9603808118697501,1380,,,
51,51,Regular Cube,Pre-Accepted,c9570734-5e9b-46ff-b606-9759b5195756,1572901810829,Radical Idea,Radical Idea [grn-52],Izzy,common,['U'],['U'],grn,2018-10-05,2,"['u', '1']",Instant,1264.0999999999678,2.529698732714885,3635,,,
52,52,Regular Cube,Pre-Accepted,7c6466cb-d1d0-4461-b48d-7497bdc9c474,1572901810830,Scour All Possibilities,Scour All Possibilities [mh1-67],Mitchell Malloy,common,['U'],['U'],mh1,2019-06-14,2,"['u', '1']",Sorcery,1255.6999999999975,3.187350810408301,4580,,,
53,53,Regular Cube,Pre-Accepted,66cef326-339c-49e5-9905-21a1603a46ae,1572901810830,Callous Dismissal,Callous Dismissal [war-44],Mathias Kollros,common,['U'],['U'],war,2019-05-03,2,"['u', '1']",Sorcery,1278.1000000000743,3.6104751101306256,5188,,,
54,54,Regular Cube,Pre-Accepted,6757e07f-fb3e-42a2-9684-d4f53030255d,1572901810830,Mulldrifter,Mulldrifter [c18-94],Eric Fortune,uncommon,['U'],['U'],c18,2018-08-09,5,"['u', '4']",Creature — Elemental,1435.3000000002305,23.560646656413326,33855,,2,2
55,55,Regular Cube,Pre-Accepted,94db72a8-57f7-4f17-9f09-cae90ef50304,1572901810830,Ob Nixilis's Cruelty,Ob Nixilis's Cruelty [war-101],Igor Kieryluk,common,['B'],['B'],war,2019-05-03,3,"['b', '2']",Instant,1396.5999999997962,2.9103714168400687,4182,,,
56,56,Regular Cube,Pre-Accepted,629e37d1-c0f3-44f2-926e-41eb3687c1d9,1572901810831,Cryptbreaker,Cryptbreaker [emn-86],Darek Zabrocki,rare,['B'],['B'],emn,2016-07-22,1,['b'],Creature — Zombie,1287.7999999998146,8.042145407222343,11556,,1,1
57,57,Regular Cube,Pre-Accepted,74e49567-8ad6-4ce9-a55d-4db5e0fd9532,1572901810832,Isareth the Awakener,Isareth the Awakener [m19-104],Jason Rainville,rare,['B'],['B'],m19,2018-07-13,3,"['b', 'b', '1']",Legendary Creature — Human Wizard,1245.8000000000225,2.0856965892562616,2997,,3,3
58,58,Regular Cube,Pre-Accepted,9039e8f6-5513-4307-a1b5-07209dc8e1c8,1572901810832,Diregraf Colossus,Diregraf Colossus [soi-107],Vincent Proce,rare,['B'],['B'],soi,2016-04-08,3,"['b', '2']",Creature — Zombie Giant,1246.2999999999263,2.0766495236371987,2984,,2,2
59,59,Regular Cube,Pre-Accepted,b8320434-70d6-48c6-a4cd-1cecc6a21ad4,1572901810832,Noosegraf Mob,Noosegraf Mob [bbd-151],Seb McKinnon,rare,['B'],['B'],bbd,2018-06-08,6,"['b', 'b', '4']",Creature — Zombie,1155.5999999999967,1.1350587711301177,1631,,0,0
60,60,Regular Cube,Pre-Accepted,6a2b22bc-e81b-4f27-a52b-9f3edad25439,1572901810833,Murder,Murder [m20-109],Allen Williams,common,['B'],['B'],m20,2019-07-12,3,"['b', 'b', '1']",Instant,1321.399999999897,7.645466376232663,10986,,,
61,61,Regular Cube,Pre-Accepted,0a19da90-880e-4eca-8cf7-6d7baf090d53,1572901810833,Carrion Feeder,Carrion Feeder [mh1-81],Svetlin Velinov,uncommon,['B'],['B'],mh1,2019-06-14,1,['b'],Creature — Zombie,1276.8999999990845,17.36619041985344,24954,,1,1
62,62,Regular Cube,Pre-Accepted,535d8c19-c108-4fca-9918-2fcfc32e673d,1572901810833,Viscera Seer,Viscera Seer [c13-99],John Stanko,common,['B'],['B'],c13,2013-11-01,1,['b'],Creature — Vampire Wizard,1194.8999999996497,9.899577571628402,14225,,1,1
63,63,Regular Cube,Pre-Accepted,3c189fe5-a5f9-4057-bb70-0a88ae3169de,1572901810833,Gravecrawler,Gravecrawler [ddq-59],Steven Belledin,rare,['B'],['B'],ddq,2016-02-26,1,['b'],Creature — Zombie,1271.699999999414,9.729771109239838,13981,,2,1
64,64,Regular Cube,Pre-Accepted,a3d4ac21-2203-45f4-b5f2-dc186ccdbe69,1572901810834,Reassembling Skeleton,Reassembling Skeleton [m19-116],Austin Hsu,uncommon,['B'],['B'],m19,2018-07-13,2,"['b', '1']",Creature — Skeleton Warrior,1251.6999999996965,8.65804179744316,12441,,1,1
65,65,Regular Cube,Pre-Accepted,e93e65d6-c2c8-4ab6-9296-7b21ff2ff8bf,1572901810834,Blood Artist,Blood Artist [c17-99],Johannes Voss,uncommon,['B'],['B'],c17,2017-08-25,2,"['b', '1']",Creature — Vampire,1301.799999999478,16.49975990479703,23709,,0,1
66,66,Regular Cube,Pre-Accepted,a1a81554-50d4-4fe0-bf0d-5304f215d19e,1572901810834,Dead Weight,Dead Weight [grn-67],Lake Hurwitz,common,['B'],['B'],grn,2018-10-05,1,['b'],Enchantment — Aura,1287.200000000086,6.575824848809615,9449,,,
67,67,Regular Cube,Pre-Accepted,f62fd592-4910-417d-a500-e7029f3d119f,1572901810834,Kitesail Freebooter,Kitesail Freebooter [xln-110],Dan Scott,uncommon,['B'],['B'],xln,2017-09-29,2,"['b', '1']",Creature — Human Pirate,1322.1000000004185,11.481422198715316,16498,,1,2
68,68,Regular Cube,Pre-Accepted,56494d1e-0d7e-4c29-942c-b376ff07cdf8,1572901810835,Cemetery Reaper,Cemetery Reaper [m12-86],Dave Allsop,rare,['B'],['B'],m12,2011-07-15,3,"['b', 'b', '1']",Creature — Zombie,1267.1999999999662,1.7572185144718253,2525,,2,2
69,69,Regular Cube,Pre-Accepted,2a0d7998-2f3d-43b8-a0be-6ff7e5c83223,1572901810835,Relentless Dead,Relentless Dead [soi-131],Ryan Yee,mythic,['B'],['B'],soi,2016-04-08,2,"['b', 'b']",Creature — Zombie,1286.1999999999955,2.4858552608686573,3572,,2,2
70,70,Regular Cube,Pre-Accepted,7a188d4c-ce2a-4ec7-8ea7-980f85f639da,1572901810835,The Eldest Reborn,The Eldest Reborn [c19-131],Ravenna Tran,uncommon,['B'],['B'],c19,2019-08-23,5,"['b', '4']",Enchantment — Saga,1368.3999999999662,8.715803831780253,12524,,,
71,71,Regular Cube,Pre-Accepted,358a87a3-c76e-4c7d-ac84-464894ed9a31,1572901810835,Marionette Master,Marionette Master [kld-90],James Ryman,rare,['B'],['B'],kld,2016-09-30,6,"['b', 'b', '4']",Creature — Human Artificer,1265.1999999999407,2.8491297418802586,4094,,1,3
72,72,Regular Cube,Pre-Accepted,be358357-2abe-4ead-bb18-76cad8274489,1572901810836,Skinrender,Skinrender [som-78],David Rapoza,uncommon,['B'],['B'],som,2010-10-01,4,"['b', 'b', '2']",Creature — Phyrexian Zombie,1393.8999999998846,5.673901999401502,8153,,3,3
73,73,Regular Cube,Pre-Accepted,33176679-d571-47a1-ae05-bed9b748491d,1572901810836,Archfiend of Ifnir,Archfiend of Ifnir [akh-78],Seb McKinnon,rare,['B'],['B'],akh,2017-04-28,5,"['b', 'b', '3']",Creature — Demon,1362.2999999998833,2.690458129484387,3866,,5,4
74,74,Regular Cube,Pre-Accepted,280ae211-f025-4971-83e6-118ca08a1911,1572901810836,Plague Belcher,Plague Belcher [akh-104],Izzy,rare,['B'],['B'],akh,2017-04-28,3,"['b', '2']",Creature — Zombie Beast,1217.2999999999881,0.8949635681626802,1286,,5,4
75,75,Regular Cube,Pre-Accepted,7892b516-0dce-491f-8b42-031d64397e26,1572901810837,Blood for Bones,Blood for Bones [m20-89],Seb McKinnon,uncommon,['B'],['B'],m20,2019-07-12,4,"['b', '3']",Sorcery,1280.3999999998819,4.138684556658988,5947,,,
76,76,Regular Cube,Pre-Accepted,2013a138-f8e2-4a67-91e8-759288d985a7,1572901810837,Spark Harvest,Spark Harvest [war-105],Kieran Yanner,common,['B'],['B'],war,2019-05-03,1,['b'],Sorcery,1176.899999999937,2.877662794986534,4135,,,
77,77,Regular Cube,Pre-Accepted,e3378fe8-3355-48aa-90d4-9cb739200160,1572901810838,Priest of Forgotten Gods,Priest of Forgotten Gods [rna-83],Zack Stella,rare,['B'],['B'],rna,2019-01-25,2,"['b', '1']",Creature — Human Cleric,1303.5999999997632,6.697612270604692,9624,,1,2
78,78,Regular Cube,Pre-Accepted,3bf09460-2e54-4434-ab03-95eef77265dc,1572901810838,Eliminate the Competition,Eliminate the Competition [kld-78],Joseph Meehan,rare,['B'],['B'],kld,2016-09-30,5,"['b', '4']",Sorcery,1153.8999999999867,0.44678585595679676,642,,,
79,79,Regular Cube,Pre-Accepted,8f32b0e9-5eb2-4b26-8c06-5d4561f0295d,1572901810838,Plague Engineer,Plague Engineer [mh1-100],Nicholas Gregory,rare,['B'],['B'],mh1,2019-06-14,3,"['b', '2']",Creature — Phyrexian Carrier,1259.4999999998079,2.474720410875965,3556,,2,2
80,80,Regular Cube,Pre-Accepted,ece1852d-8b7f-4fe6-b9fe-0584a94087ab,1572901810838,Read the Bones,Read the Bones [c17-122],Lars Grant-West,common,['B'],['B'],c17,2017-08-25,3,"['b', '2']",Sorcery,1281.5999999996807,9.079078312791856,13046,,,
81,81,Regular Cube,Pre-Accepted,d2124603-d20e-40eb-97f0-a66323397ac2,1572901810847,Bolas's Citadel,Bolas's Citadel [war-79],Jonas De Ro,rare,['B'],['B'],war,2019-05-03,6,"['b', 'b', 'b', '3']",Legendary Artifact,1296.9000000003211,8.658737725567704,12442,,,
82,82,Regular Cube,Pre-Accepted,81c1fe5e-375a-4ca0-a0fe-a3b0d36b0e7c,1572901810847,Executioner's Capsule,Executioner's Capsule [c16-109],Warren Mahy,common,['B'],['B'],c16,2016-11-11,1,['b'],Artifact,1262.1999999998907,3.389169966525857,4870,,,
83,83,Regular Cube,Pre-Accepted,e1ff5e66-4718-43c3-8a58-1a0a8e788f83,1572901810848,Audacious Thief,Audacious Thief [m20-84],Dmitry Burmak,common,['B'],['B'],m20,2019-07-12,3,"['b', '2']",Creature — Human Rogue,1197.5999999999663,1.908234917497721,2742,,2,2
84,84,Regular Cube,Pre-Accepted,f82aec21-441b-4fcd-b666-61723bd79531,1572901810848,Sling-Gang Lieutenant,Sling-Gang Lieutenant [mh1-108],Craig J Spearing,uncommon,['B'],['B'],mh1,2019-06-14,4,"['b', '3']",Creature — Goblin,1312.6999999999618,3.554800860167162,5108,,1,1
85,85,Regular Cube,Pre-Accepted,128c516b-7eb1-4f81-8b54-428bd0649d92,1572901810848,Graveshifter,Graveshifter [mh1-94],Jakub Kasper,uncommon,['B'],['B'],mh1,2019-06-14,4,"['b', '3']",Creature — Shapeshifter,1284.7999999999604,2.565191067066593,3686,,2,2
86,86,Regular Cube,Pre-Accepted,fe99535a-cc81-4e79-9d30-d514c86b849c,1572901810849,Weaponcraft Enthusiast,Weaponcraft Enthusiast [kld-105],Mike Bierek,uncommon,['B'],['B'],kld,2016-09-30,3,"['b', '2']",Creature — Aetherborn Artificer,1265.4999999999868,1.9715643768311608,2833,,0,1
87,87,Regular Cube,Pre-Accepted,feaf1e6c-c7d9-4ac7-9aeb-c4b5d61548ec,1572901810852,Claim the Firstborn,Claim the Firstborn [eld-118],Iain McCaig,uncommon,['R'],['R'],eld,2019-10-04,1,['r'],Sorcery,1213.400000000118,4.17696060350887,6002,,,
88,88,Regular Cube,Pre-Accepted,c9021f85-7ab4-4a78-a398-1611fe09cd14,1572901810852,Thrill of Possibility,Thrill of Possibility [eld-146],Steve Argyle,common,['R'],['R'],eld,2019-10-04,2,"['r', '1']",Instant,1246.2999999999079,11.857919314093241,17039,,,
89,89,Regular Cube,Pre-Accepted,72495879-39ce-449d-ad2f-ef32ea46f3aa,1572901810852,"Kari Zev, Skyship Raider","Kari Zev, Skyship Raider [aer-87]",Brad Rigney,rare,['R'],['R'],aer,2017-01-20,2,"['r', '1']",Legendary Creature — Human Pirate,1369.5000000002153,10.33383672134342,14849,,1,3
90,90,Regular Cube,Pre-Accepted,13e3c0c5-7451-4da9-acc0-d6e4e1f2655e,1572901810852,Dire Fleet Daredevil,Dire Fleet Daredevil [rix-99],Zoltan Boros,rare,['R'],['R'],rix,2018-01-19,2,"['r', '1']",Creature — Human Pirate,1313.5000000000002,9.128489209634429,13117,,2,1
91,91,Regular Cube,Pre-Accepted,69a57bfc-1de2-4b3a-84bc-19ec41087f0d,1572901810853,Dark-Dweller Oracle,Dark-Dweller Oracle [m19-134],Deruchenko Alexander,rare,['R'],['R'],m19,2018-07-13,2,"['r', '1']",Creature — Goblin Shaman,1144.0999999999663,2.892277285601943,4156,,2,2
