details_name,Cube Name
Start // Finish,4
Reckless Impulse,4
Sparring Construct,4
Dimir Signet,4
Acidic Slime,4
Rift Bolt,4
"Raff, Weatherlight Stalwart",4
Gruul Signet,4
Botanical Brawler,4
Power Depot,4
Stormclaw Rager,4
Rhythm of the Wild,4
Blossoming Defense,4
Spectral Sailor,4
Return to Nature,4
Blossom Prancer,4
Prismatic Lens,4
Ridgescale Tusker,4
Simic Signet,4
Tanglepool Bridge,4
Mask of Memory,4
All That Glitters,4
Shipwreck Dowser,4
Explore,4
Underhanded Designs,4
Chief of the Foundry,4
Jungle Shrine,4
Mardu Woe-Reaper,4
Merfolk Secretkeeper,4
Shock,4
Faerie Conclave,4
Faerie Dreamthief,4
Cathodion,4
Illuminator Virtuoso,4
Malakir Rebirth,4
Expedition Map,4
Invasion of Amonkhet,4
"Mahadi, Emporium Master",4
Wild Nacatl,4
Monk of the Open Hand,4
Generous Visitor,4
Circular Logic,4
Momentary Blink,4
Azra Oddsmaker,4
Azorius Signet,4
Mire's Grasp,4
Avacyn's Pilgrim,4
"Tatyova, Benthic Druid",4
Militia Bugler,4
Slip Out the Back,4
Midnight Haunting,4
Michiko's Reign of Truth,4
Ethereal Armor,4
Makeshift Mannequin,4
Improbable Alliance,4
Moon-Circuit Hacker,4
"Anax, Hardened in the Forge",4
Arcane Sanctum,4
Filigree Familiar,4
Kaleidoscorch,4
Fire Prophecy,4
Kodama's Reach,4
Kitchen Imp,4
Fires of Yavimaya,4
Fiend Hunter,4
Apostle's Blessing,4
Kird Ape,4
Vivid Crag,4
Vivid Creek,4
Vivid Grove,4
Vivid Marsh,4
Golgari Signet,4
Late to Dinner,4
Callous Sell-Sword,4
Shrine of Burning Rage,4
Faith's Fetters,4
Impulse,4
Slagwoods Bridge,4
Frogmite,4
Wayfarer's Bauble,4
Liquimetal Torque,4
Sicarian Infiltrator,4
Arcbound Worker,4
"Vohar, Vodalian Desecrator",4
Levitating Statue,4
Lesser Masticore,4
Fell Stinger,4
Archaeomender,4
Vendetta,4
Enthusiastic Mechanaut,4
Joint Exploration,4
Morbid Opportunist,4
The Modern Age,4
Sojourner's Companion,4
Eagles of the North,4
Beacon Bolt,4
Duskwatch Recruiter,4
Oketra's Monument,4
Okiba Reckoner Raid,4
Enclave Cryptologist,4
Jade Mage,4
Cloudkin Seer,4
Ahn-Crop Crasher,4
Seaside Citadel,4
Searing Blaze,4
Beetleback Chief,4
Hedron Crab,4
Buried Ruin,4
Nishoba Brawler,4
Order of Midnight,4
Song of Freyalise,4
Orzhov Signet,4
Ossification,4
Izzet Signet,4
Benevolent Bodyguard,4
Forsake the Worldly,4
Terminal Agony,4
Dreams of Steel and Oil,4
Heartfire Immolator,4
Paradise Druid,4
Witching Well,4
Cogwork Librarian,4
Soul Warden,4
Noble's Purse,4
Edge of Autumn,4
Goblin Electromancer,4
Shambling Ghast,4
Grateful Apparition,4
Mystical Tutor,4
Vivid Meadow,4
Elspeth's Nightmare,4
Smother,4
Sentinel's Eyes,4
Barrow-Blade,4
Claim // Fame,4
Hexgold Halberd,4
Elspeth's Smite,4
"Baird, Argivian Recruiter",4
Goldmire Bridge,4
Wilt,4
Cloudfin Raptor,4
Roaring Earth,3
Collective Nightmare,3
Chainer's Edict,3
Goblin Bushwhacker,3
Gods Willing,3
Scour All Possibilities,3
Goblin Instigator,3
Roast,3
Seal from Existence,3
Greatsword of Tyr,3
Settle Beyond Reality,3
Cephalid Coliseum,3
Chronomaton,3
Riveteers Overlook,3
Chainweb Aracnir,3
Roar of the Wurm,3
Shadow Prophecy,3
Sharktocrab,3
Goblin Wizardry,3
Sin Collector,3
Seal of Primordium,3
Conjurer's Bauble,3
Channel,3
Goblin Ringleader,3
Goblin Banneret,3
Selesnya Charm,3
Savage Twister,3
Cheeky House-Mouse,3
Goldhound,3
Shimmerdrift Vale,3
Sejiri Shelter,3
"Rulik Mons, Warren Chief",3
Seize the Spoils,3
Compulsion,3
Copper Myr,3
Chatterstorm,3
Great Furnace,3
Shepherd of the Flock,3
Grave Upheaval,3
Rotten Reunion,3
Grinding Station,3
Shrapnel Blast,3
Rootcoil Creeper,3
Corpse Knight,3
Combat Thresher,3
Charging Monstrosaur,3
Seat of the Synod,3
Sailors' Bane,3
Serene Steward,3
Cosmic Rebirth,3
Servo Exhibition,3
Roil Eruption,3
Complicate,3
Invigorate,3
Riveteers Charm,3
Mogg Fanatic,3
Murder,3
Hobblefiend,3
Mountain,3
Ensoul Artifact,3
Generous Gift,3
Environmental Sciences,3
Gemstone Mine,3
Moan of the Unhallowed,3
Ice Tunnel,3
Mirkwood Bats,3
Miraculous Recovery,3
Mine Collapse,3
Hyena Umbra,3
Metallic Rebuke,3
Mentor of the Meek,3
Mayhem Patrol,3
Highland Forest,3
Elvish Mystic,3
High-Speed Hoverbike,3
High Tide,3
Nihil Spellbomb,3
Ghost of Ramirez DePietro,3
Network Disruptor,3
Nekrataal,3
Cartouche of Solidarity,3
Necrotic Wound,3
Nature's Chant,3
Naturalize,3
Narnam Renegade,3
Hieroglyphic Illumination,3
Nantuko Husk,3
Nameless Inversion,3
Elsewhere Flask,3
Myr Enforcer,3
Mycosynth Wellspring,3
Hypnotic Sprite,3
Expunge,3
Nomad Outpost,3
Introduction to Annihilation,3
Krosan Tusker,3
Integrity // Intervention,3
Kiln Fiend,3
Kappa Tech-Wrecker,3
Kami of Whispered Hopes,3
Jwari Disruption,3
Flayer Husk,3
Join the Dance,3
Marauding Dreadship,3
Jilt,3
Invasion of Azgol,3
Island,3
Force Spike,3
Forest,3
Forgotten Cave,3
Invigorating Hot Spring,3
Kumano Faces Kakkazan,3
"Lagrella, the Magpie",3
Lay Down Arms,3
Lembas,3
Furyblade Vampire,3
"Maja, Bretagard Protector",3
Funeral Longboat,3
Mage's Attendant,3
Frolicking Familiar,3
Faithless Salvaging,3
Lone Rider,3
Logic Knot,3
Ingenious Infiltrator,3
Lim-Dûl's Vault,3
Fearless Fledgling,3
Lightning Mauler,3
Insolent Neonate,3
Inspired Tinkering,3
Fellwar Stone,3
Noise Marine,3
Noose Constrictor,3
Crackling Drake,3
Rakdos Cackler,3
Gryff's Boon,3
Guardian Idol,3
"Ramirez DePietro, Pillager",3
Ram Through,3
"Daxos, Blessed by the Sun",3
Rally the Peasants,3
Rakdos Headliner,3
Deathbonnet Sprout,3
Glassdust Hulk,3
Deceiver Exarch,3
"Raff Capashen, Ship's Mage",3
Radical Idea,3
Radiant's Judgment,3
Decisive Denial,3
Guttersnipe,3
Quirion Ranger,3
Read the Bones,3
Darksteel Citadel,3
Reality Shift,3
Reckless Bushwhacker,3
Rimewood Falls,3
Riftwing Cloudskate,3
Crop Rotation,3
Cruel Celebrant,3
Return from the Wilds,3
Renegade Freighter,3
Remove Soul,3
Relic of Progenitus,3
Relic of Legends,3
Curse of Predation,3
Gnaw to the Bone,3
Refurbish,3
Dakmor Salvage,3
Dance of the Dead,3
Reckless Rage,3
Putrefy,3
Psychomancer,3
Hero of the Dunes,3
Orcish Lumberjack,3
Peace Strider,3
Palladium Myr,3
Palace Jailer,3
Dragonspark Reactor,3
Overwhelming Remorse,3
Orzhov Pontiff,3
Orzhov Charm,3
Heir of Falkenrath,3
Prizefight,3
Dryad Arbor,3
Dryad Greenseeker,3
Oona's Blackguard,3
Dryad's Revival,3
Ominous Seas,3
"Oji, the Exquisite Blade",3
Obliterating Bolt,3
Pentad Prism,3
Doomed Traveler,3
Distortion Strike,3
Dispeller's Capsule,3
Destroy Evil,3
Hangar Scrounger,3
Harm's Way,3
Predator's Howl,3
Portent,3
Glacial Floodplain,3
Pollenbright Druid,3
Play with Fire,3
Plains,3
Plague Spitter,3
Placid Rottentail,3
Disciple of the Vault,3
Pillory of the Sleepless,3
Pillar of Flame,3
Phyrexian Missionary,3
Skirk Prospector,3
Zuran Orb,3
Thwart the Grave,3
Volatile Fjord,3
Vizier of Remedies,3
Vilespawn Spider,3
Vigor Mortis,3
"Viconia, Drow Apostate",3
Vessel of Nascency,3
Archfiend of Sorrows,3
Arctic Treeline,3
Vault of Whispers,3
Arcus Acolyte,3
Vapor Snag,3
Armorcraft Judge,3
Valorous Stance,3
Bramblewood Paragon,3
Arrogant Wurm,3
Urban Evolution,3
Unwind,3
Untamed Kavu,3
Unnatural Restoration,3
Atraxa's Fall,3
Vizier of Tumbling Sands,3
Volcanic Spite,3
Winds of Rebuke,3
Volt Charge,3
"Alharu, Solemn Ritualist",3
Whirlwind Denial,3
Werebear,3
Bushwhack,3
Snowfield Sinkhole,3
Alpine Meadow,3
Sokenzan Smelter,3
Alseid of Life's Bounty,3
Wear // Tear,3
Wavesifter,3
Waterfront Bouncer,3
An Offer You Can't Refuse,3
Song-Mad Treachery,3
Soul Manipulation,3
Buried Alive,3
Ancient Den,3
Ancient Ziggurat,3
Sparksmith,3
Voltage Surge,3
Twisted Abomination,3
Turnabout,3
Trygon Predator,3
Azorius Charm,3
Sulfurous Mire,3
Thoughtcast,3
Thought Erasure,3
Body Double,3
Thornglint Bridge,3
Thopter Mechanic,3
Beast Attack,3
Thirst for Discovery,3
Thermo-Alchemist,3
Sunder the Gateway,3
The Eldest Reborn,3
Sunhome Stalwart,3
Tezzeret's Touch,3
Teferi's Time Twist,3
Blacksmith's Skill,3
Bladehold War-Whip,3
Blisterpod,3
Tainted Indulgence,3
Sword Coast Serpent,3
Three Bowls of Porridge,3
Basalt Monolith,3
"Tibalt, Rakish Instigator",3
Tranquil Thicket,3
Stinkweed Imp,3
Stonecloaker,3
Tribute Mage,3
Tree of Tales,3
Back for Seconds,3
Travel Preparations,3
Trash for Treasure,3
Storm-Kiln Artist,3
Balduvian Atrocity,3
Barbarian Ring,3
Tragic Fall,3
Tortured Existence,3
Strangle,3
Bone Shredder,3
Strike It Rich,3
Strip Mine,3
Banishment,3
Titanoth Rex,3
Smell Fear,3
Sylvan Library,3
Witness Protection,3
Candy Trail,3
Captured by Lagacs,3
Abzan Charm,3
Skyfisher Spider,3
Skull Prophet,3
A Little Chat,3
"Slimefoot, the Stowaway",3
Call the Bloodline,3
Slice and Dice,3
Cartel Aristocrat,3
Capsize,3
Wolfir Avenger,3
Xerex Strobe-Knight,3
Wood Elves,3
Ainok Bond-Kin,3
Withered Wretch,3
Woodland Chasm,3
Ainok Survivalist,3
Elvish Visionary,2
Baloth Null,2
Elven Farsight,2
Great Oak Guardian,2
Tranquil Cove,2
Torch the Tower,2
Emergency Weld,2
Emerge Unscathed,2
Greater Sandwurm,2
Baloth Cage Trap,2
Munitions Expert,2
Embolden,2
Tracker's Instincts,2
Trail of Evidence,2
You See a Pair of Goblins,2
Myr Scrapling,2
Mulch,2
You're Confronted by Robbers,2
Windrider Wizard,2
Banishing Light,2
Mystic Genesis,2
"Toggo, Goblin Weaponsmith",2
Neoform,2
Goblin Lackey,2
Thundersong Trumpeter,2
Necropede,2
Necrogen Spellbomb,2
"Zada, Hedron Grinder",2
Nearby Planet,2
Elemental Summoning,2
Nature's Claim,2
Barkhide Troll,2
Barbed Batterfist,2
Elite Guardmage,2
"Narset, Parter of Veils",2
Tinder Wall,2
Elixir of Immortality,2
Nantuko Vigilante,2
Young Wolf,2
Goblin Heelcutter,2
Graveshifter,2
"Nadier, Agent of the Duskenel",2
Gray Merchant of Asphodel,2
Abzan Battle Priest,2
Nadier's Nightblade,2
Banishing Slash,2
Mystic Redaction,2
Gremlin Mine,2
Enlightened Tutor,2
Yotia Declares War,2
"Tymaret, Chosen from Death",2
Minecart Daredevil,2
Mind Control,2
Acorn Harvest,2
Tuskguard Captain,2
Micromancer,2
Aven Eternal,2
Etherium Sculptor,2
Acquisitions Expert,2
Ethersworn Sphinx,2
Evasive Action,2
Auramancer,2
Merfolk Skydiver,2
Ministrant of Obligation,2
Tyvar's Stand,2
Uktabi Orangutan,2
Ulamog's Crusher,2
Audacity,2
Mer-Ek Nightblade,2
Umara Wizard,2
Memory Leak,2
Memorial to Glory,2
Expanded Anatomy,2
Unbounded Potential,2
Uncharted Haven,2
Essence Scatter,2
Minor Misstep,2
Enduring Bondwarden,2
Moldervine Cloak,2
Energy Chamber,2
Goblin Blast-Runner,2
Nest Invader,2
Moonsilver Key,2
Access Tunnel,2
Treasure Keeper,2
Treasured Find,2
Goatnapper,2
"Trelasarra, Moon Dancer",2
Grisly Sigil,2
Trinket Mage,2
Mogis's Favor,2
Tumble Magnet,2
Trip Noose,2
Mogg Flunkies,2
Mogg Conscripts,2
Mockery of Nature,2
Mistvein Borderpost,2
Escape Velocity,2
Mistmeadow Witch,2
Esper Charm,2
Trumpeting Herd,2
Go for Blood,2
Mirrodin's Core,2
Nessian Hornbeetle,2
Basri's Solidarity,2
Nettle Drone,2
Abiding Grace,2
Dismiss,2
Disowned Ancestor,2
Dispatch,2
Bituminous Blast,2
Talisman of Unity,2
Talrand's Invocation,2
Distinguished Conjurer,2
Bitter Downfall,2
Phantom Nomad,2
Divide by Zero,2
Tangled Florahedron,2
Pestilence,2
Pest Summoning,2
Peregrine Drake,2
Peregrin Took,2
Pegasus Guardian,2
Peek,2
Zhur-Taa Druid,2
Patrol Hound,2
Parting Thoughts,2
Paranoid Delusions,2
Paradise Mantle,2
Big Score,2
Temporal Isolation,2
Pacification Array,2
Picnic Ruiner,2
Pillage,2
Dread Fugue,2
Talisman of Creativity,2
Diabolic Edict,2
Power Word Kill,2
Sylvan Reclamation,2
Zombify,2
Blazing Crescendo,2
Pongify,2
Syndic of Tithes,2
Blaze Commando,2
Poison-Tip Archer,2
Poison the Cup,2
Dinrova Horror,2
Plundering Barbarian,2
Plumb the Forbidden,2
"Syr Faren, the Hengehammer",2
Plaxcaster Frogling,2
Plated Geopede,2
Diregraf Captain,2
Planar Incision,2
Blast of Genius,2
Diregraf Rebirth,2
Blanchwood Prowler,2
Take Up the Shield,2
Pit Keeper,2
Piston Sledge,2
Disdainful Stroke,2
Overrun,2
Temur Sabertooth,2
Eldrazi Skyspawner,2
Thornscape Battlemage,2
Zameck Guildmage,2
Odric's Outrider,2
Duskshell Crawler,2
Obsessive Skinner,2
Grapeshot,2
Obscura Storefront,2
Thoughtflare,2
Grasp of Darkness,2
Ob Nixilis's Cruelty,2
Oath of the Grey Host,2
Oakhame Adversary,2
Battlewing Mystic,2
Thrashing Brontodon,2
Goblin Legionnaire,2
Nivix Cyclops,2
Three Visits,2
Ninth Bridge Patrol,2
Echoing Decay,2
Echoing Truth,2
Ecologist's Terrarium,2
Nightscape Familiar,2
Edgewall Inn,2
Experimental Augury,2
Night Market Lookout,2
Night Clubber,2
Dusk Legion Zealot,2
Graceful Restoration,2
Ovalchase Daredevil,2
Dusk Legion Dreadnought,2
Dream Twist,2
Terrarion,2
Otherworldly Journey,2
Otherworldly Gaze,2
Dreg Mangler,2
Tezzeret's Gambit,2
Orzhov Enforcer,2
Golgari Charm,2
Zephyr Sentinel,2
Beloved Chaplain,2
Goblin Warchief,2
Behold the Unspeakable,2
Drown in the Loch,2
The Grey Havens,2
Druid Class,2
Golgari Germination,2
Behold the Multiverse,2
Zealous Persecution,2
Thieving Magpie,2
Goliath Truck,2
Gollum's Bite,2
Once and Future,2
"Gollum, Patient Plotter",2
Durable Handicraft,2
"Gorex, the Tombshell",2
Mech Hangar,2
Mask of the Jadecrafter,2
Undead Augur,2
Wander in Death,2
Ancient Excavation,2
Gift of Fangs,2
War-Name Aspirant,2
Foulmire Knight,2
Invasion of New Capenna,2
Warbriar Blessing,2
Ancestral Mask,2
Winterthorn Blessing,2
Invasion of Kaladesh,2
Invasion of Ergamon,2
Gideon's Lawkeeper,2
Warden of the Eye,2
Introduction to Prophecy,2
Winter Eladrin,2
Foundry Helix,2
Foundry Street Denizen,2
Hell Mongrel,2
Amrou Scout,2
Amethyst Dragon,2
Ghoulish Procession,2
Fractal Summoning,2
Fracture,2
Inkling Summoning,2
Fragmentize,2
Ambuscade,2
Involuntary Cooldown,2
Hedron Archive,2
Act of Aggression,2
Iron Myr,2
Justice Strike,2
Haunted Dead,2
Juniper Order Ranger,2
Aethersnipe,2
Jungle Barrier,2
Jund Charm,2
Fleshbag Marauder,2
"Angrath, Captain of Chaos",2
Journey to Oblivion,2
Gird for Battle,2
Heartfire,2
Voltaic Brawler,2
Angelic Purge,2
Fling,2
Jetting Glasskite,2
Jeskai Charm,2
Jaspera Sentinel,2
Witch's Cauldron,2
"Vraska, Swarm's Eminence",2
Flowstone Infusion,2
Izzet Staticaster,2
Vulshok Morningstar,2
Waker of Waves,2
Walk the Plank,2
Forbid,2
Freeze in Place,2
Infest,2
Frilled Mystic,2
Weaponcraft Enthusiast,2
Gaea's Gift,2
Gaea's Might,2
Galadhrim Bow,2
Hypnotic Specter,2
